DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
LDBRR174	Fa0/1/3	550	10.44.174.84	PP03174
LDBRR174	Fa0/1/4	550	10.44.174.85	PP04174
LDBRR174	Fa0/1/5	550	10.44.174.86	PP05174
LDBRR174	Fa0/1/6	550	10.44.174.87	PP06174
LDBRR174	Fa0/1/8	550	10.44.174.90	PP11174
LDBRR174	Fa0/1/7	550	10.44.174.93	PP14174
LDBRR174	T1	NULL	10.45.186.174	NULL
LDBRR174	T0	NULL	10.45.20.174	NULL
 LDBRS228	Gi1/0/11	20	10.44.228.34	LDW11228
LDBRR175	LB	NULL	10.44.175.250	NULL
LDBRR175	Fa0/1/1   	550	10.44.175.82	PP01175
LDBRR175	Fa0/1/2	550	10.44.175.83	PP02175
LDBRR175	Fa0/1/3	550	10.44.175.84	PP03175
LDBRR175	Fa0/1/4	550	10.44.175.90	PP11175
LDBRR175	T1	NULL	10.45.186.175	NULL
LDBRR175	T0	NULL	10.45.20.175	NULL
 LDBRS228	Gi1/0/12	20	10.44.228.35	LDW12228
LDBRR177	LB	NULL	10.44.177.250	NULL
LDBRR177	Fa0/1/1   	550	10.44.177.82	PP01177
LDBRR177	Fa0/1/2	550	10.44.177.83	PP02177
LDBRR177	Fa0/1/3	550	10.44.177.84	PP03177
LDBRR177	Fa0/1/4	550	10.44.177.85	PP04177
LDBRR177	Fa0/1/5	550	10.44.177.86	PP05177
LDBRR177	Fa0/1/6	550	10.44.177.90	PP11177
LDBRR177	T1	NULL	10.45.186.177	NULL
LDBRR177	T0	NULL	10.45.20.177	NULL
 LDBRS228	Gi1/0/13	20	10.44.228.36	LDW13228
LDBRR178	LB	NULL	10.44.178.250	NULL
LDBRR178	Fa0/1/1   	550	10.44.178.82	PP01178
LDBRR178	Fa0/1/2	550	10.44.178.83	PP02178
LDBRR178	Fa0/1/3	550	10.44.178.84	PP03178
LDBRR178	Fa0/1/4	550	10.44.178.85	PP04178
LDBRR178	Fa0/1/5	550	10.44.178.90	PP11178
LDBRR178	T1	NULL	10.45.186.178	NULL
LDBRR178	T0	NULL	10.45.20.178	NULL
LDBRR179	LB	NULL	10.44.179.250	NULL
LDBRR179	Fa0/1/1	550	10.44.179.82	PP01179
LDBRR179	Fa0/1/2	550	10.44.179.83	PP02179
LDBRR179	Fa0/1/3	550	10.44.179.84	PP03179
LDBRR179	Fa0/1/4	550	10.44.179.85	PP04179
LDBRR179	Fa0/1/5	550	10.44.179.86	PP05179
LDBRR179	Fa0/1/6	550	10.44.179.90	PP11179
LDBRR179	Fa0/1/7	550	10.44.179.92	PP13179
LDBRR179	T1	NULL	10.45.186.179	NULL
LDBRR179	T0	NULL	10.45.20.179	NULL
 LDBRS228	Gi1/0/14	20	10.44.228.37	LDW14228
LDBRR181	LB	NULL	10.44.181.250	NULL
LDBRR181	Fa0/1/1   	550	10.44.181.82	PP01181
LDBRR181	Fa0/1/2	550	10.44.181.83	PP02181
LDBRR181	Fa0/1/3	550	10.44.181.84	PP03181
LDBRR181	Fa0/1/4	550	10.44.181.85	PP04181
LDBRR181	Fa0/1/5	550	10.44.181.90	PP11181
LDBRR181	T1	NULL	10.45.186.181	NULL
LDBRR181	T0	NULL	10.45.20.181	NULL
 LDBRS228	Gi1/0/15	20	10.44.228.38	LDW15228
LDBRR182	LB	NULL	10.44.182.250	NULL
LDBRR182	Fa0/1/1   	550	10.44.182.82	PP01182
LDBRR182	Fa0/1/2	550	10.44.182.83	PP02182
LDBRR182	Fa0/1/3	550	10.44.182.84	PP03182
LDBRR182	Fa0/1/4	550	10.44.182.85	PP04182
LDBRR182	Fa0/1/5	550	10.44.182.86	PP05182
LDBRR182	Fa0/1/6	550	10.44.182.90	PP11182
LDBRR182	T1	NULL	10.45.186.182	NULL
LDBRR182	T0	NULL	10.45.20.182	NULL
 LDBRS228	Gi1/0/16	20	10.44.228.39	LDW16228
LDBRR183	LB	NULL	10.44.183.250	NULL
LDBRR183	Fa0/1/1   	550	10.44.183.82	PP01183
LDBRR183	Fa0/1/2	550	10.44.183.83	PP02183
LDBRR183	Fa0/1/3	550	10.44.183.84	PP03183
LDBRR183	Fa0/1/4	550	10.44.183.85	PP04183
LDBRR183	Fa0/1/5	550	10.44.183.86	PP05183
LDBRR183	Fa0/1/6	550	10.44.183.90	PP11183
LDBRR183	T1	NULL	10.45.186.183	NULL
LDBRR183	T0	NULL	10.45.20.183	NULL
 LDBRS228	Gi1/0/3	20	10.44.228.4	 LDR03228
LDBRR185	LB	NULL	10.44.185.250	NULL
LDBRR185	Fa0/1/2	550	10.44.185.83	PP02185
LDBRR185	Fa0/1/3	550	10.44.185.84	PP03185
LDBRR185	Fa0/1/4	550	10.44.185.90	PP11185
LDBRR185	T1	NULL	10.45.186.185	NULL
LDBRR185	T0	NULL	10.45.20.185	NULL
 LDBRS228	Gi1/0/4	20	10.44.228.5	 LDR04228
